record_id,title,genre
record_rfmlrRfx,Statement matter,Country
record_ox3Cb0Gn,Media behavior about,Pop
record__xm5sgJi,Able somebody like,Gospel
record_MYJSTjgN,Big worry,Reggae
record_gWcAXHNX,In group,Punk
record_NX80fj_s,Pick administration,Punk
record_1sLXxrAi,Need pressure way,Blues
record_3gDYPR4m,Easy degree allow,Jazz
record_1487gZZ9,Civil government find,Indie
record_lyI0ZEDE,Citizen well,Techno
record_-W-GocE-,Care total,R&B
record_ekybfggL,Mind security sure,Gospel
record_N3GEiW22,Finish foot,Indie
record_kHiIlK-R,Than laugh smile,Reggae
record_O5FMHr_v,College right interview,Punk
record_El7mLdPZ,Especially condition,Latin
record_xfeCLreT,Audience star apply,Pop
record__k2HnkDe,End build different,R&B
record_PTgE_grv,Sit pay political,Reggae
record_WLG99NJ1,Market until somebody,Soul
record_ce_qe3ta,Interest too ask,Soul
record_LwkJ5JCi,Show security institution,Electronic
record_dkbIBGGV,Myself wife,Soul
record_Pu4rJ4Bp,Drive skin,Blues
record_FW5BXlko,Could seven rest force,Reggae
record_EqH_5bOv,Range world,Disco
record_o-0EUlaG,Car Democrat,Gospel
record_L_NigRZd,Computer offer central,Punk
record_ArdMJStm,Listen from hand,Techno
record_Sr4UlpOp,Reflect,Funk
record_XE5NDavd,Ever real responsibility,Metal
record_aMYhc4ft,Them both address,Reggae
record_dYhVxHwt,Stand office,Soul
record_tsVpRXiC,Dinner activity clearly,Punk
record_dyp6cgb0,Show here,Rock
record_4Fa9uTeV,Success use,Gospel
record_2zZIrqYT,Right stage fall federal,Reggae
record_35ngv_My,Like that,Disco
record_Tvggw1Ba,Note draw especially,Pop
record_J0_SIDum,Name agent body bar,Folk
record_DE_oS76Y,Amount reflect same,Jazz
record_HsDLz5sk,Sign customer,R&B
record_DRO8vfVQ,North expert moment,Soul
record_spTcrxX3,Increase difference,Classical
record_uHLSH86e,Boy require,Disco
record_CRZu7Rt7,Crime safe interview,Electronic
record_Szq0xAdr,Forget prevent picture event,Rock
record_-mBMjvsW,Turn certainly style,Indie
record_VVTgykFm,Dog since,Electronic
record_7xYhx8Do,Play thus,Latin
